set,number,name,subtitle,count,type,aspects,traits,arenas,cost,power,hp,fronttext,backtext,epicaction,doublesided,backart,frontart,rarity,marketprice,karabast_number
sor,147,Black One,Scourge of Starkiller Base,1,Unit,"['Aggression', 'Heroism']","['RESISTANCE', 'VEHICLE', 'FIGHTER']",['Space'],6,4,4,"When Played/When Defeated: You may discard your hand. If you do, draw 3 cards.",,,False,,https://cdn.swu-db.com/images/cards/SOR/147.png,Legendary,2.16,147
sor,088,Blizzard Assault AT-AT,,1,Unit,"['Command', 'Villainy']","['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],8,9,9,When this unit attacks and defeats a unit: You may deal the excess damage from this attack to an enemy ground unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/088.png,Uncommon,0.11,088
sor,015,Boba Fett,Collecting the Bounty,1,Leader,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],5,4,7,"When an enemy unit leaves play: You may exhaust this leader. If you do, ready a resource.","When this unit completes an attack: If an enemy unit left play this phase, ready up to 2 resources.","Epic Action: If you control 5 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/015-b.png,https://cdn.swu-db.com/images/cards/SOR/015.png,Common,0.19,015
sor,179,Boba Fett,Disintegrator,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],3,3,5,"On Attack: If this unit is attacking an exhausted unit that didn't enter play this round, deal 3 damage to the defender.",,,False,,https://cdn.swu-db.com/images/cards/SOR/179.png,Legendary,29.53,179
sor,201,Bodhi Rook,Imperial Defector,1,Unit,"['Cunning', 'Cunning']","['IMPERIAL', 'REBEL']",['Ground'],3,3,3,When Played: Look at an opponent's hand and discard a non-unit card from it.,,,False,,https://cdn.swu-db.com/images/cards/SOR/201.png,Rare,1.43,201
sor,173,Bombing Run,,1,Event,['Aggression'],['TACTIC'],,5,,,Choose an arena (ground or space). Deal 3 damage to each unit in that arena.,,,False,,https://cdn.swu-db.com/images/cards/SOR/173.png,Rare,1.47,173
sor,182,Bossk,Deadly Stalker,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],5,4,5,"AMBUSH (After you play this unit, he may ready and attack an enemy unit.)|When you play an event: You may deal 2 damage to a unit.",,,False,,https://cdn.swu-db.com/images/cards/SOR/182.png,Uncommon,0.25,182
sor,183,Bounty Hunter Crew,,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],6,4,4,"AMBUSH (After you play this unit, it may ready and attack an enemy unit.)|When Played: You may return an event from a discard pile to its owner's hand.",,,False,,https://cdn.swu-db.com/images/cards/SOR/183.png,Common,0.10,183
sor,099,Bright Hope,The Last Transport,1,Unit,"['Command', 'Heroism']","['REBEL', 'VEHICLE', 'TRANSPORT']",['Space'],4,2,6,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.)|When Played: You may return a friendly non-leader ground unit to its owner's hand. if you do, draw a card.",,,False,,https://cdn.swu-db.com/images/cards/SOR/099.png,Uncommon,0.47,099
sor,202,Cantina Bouncer,,1,Unit,"['Cunning', 'Cunning']",['FRINGE'],['Ground'],5,3,5,When Played: You may return a non-leader unit to its owner's hand.,,,False,,https://cdn.swu-db.com/images/cards/SOR/202.png,Uncommon,0.17,202
sor,157,Cantina Braggart,,1,Unit,['Aggression'],['UNDERWORLD'],['Ground'],1,0,3,RAID 2 (This unit gets +2/+0 while attacking.),,,False,,https://cdn.swu-db.com/images/cards/SOR/157.png,Common,0.07,157
sor,020,Capital City,Lothal,1,Base,['Vigilance'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/020.png,Common,0.14,020
sor,068,Cargo Juggernaut,,1,Unit,['Vigilance'],"['VEHICLE', 'TANK']",['Ground'],6,4,6,"SHIELDED (When you play this unit, give a Shield token to it.)|When Played: If you control another Vigilance unit, heal 4 damage from your base.",,,False,,https://cdn.swu-db.com/images/cards/SOR/068.png,Common,0.05,068
sor,178,Cartel Spacer,,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'VEHICLE', 'FIGHTER']",['Space'],2,2,3,"When Played: If you control another Cunning unit, exhaust an enemy unit that costs 4 or less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/178.png,Uncommon,0.33,178
sor,013,Cassian Andor,Dedicated to the Rebellion,1,Leader,"['Aggression', 'Heroism']",['REBEL'],['Ground'],6,4,6,"Action [1, {Exhaust}]: If you've dealt 3 or more damage to an enemy base this phase, draw a card.","SABOTEUR (When this unit attacks, ignore Sentinel and defeat the defender's Shields.)|When you deal damage to an enemy base: You may draw a card. Use this ability only once each round.","Epic Action: If you control 6 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/013-b.png,https://cdn.swu-db.com/images/cards/SOR/013.png,Rare,0.18,013
sor,026,Catacombs of Cadera,Jedha,1,Base,['Aggression'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/026.png,Common,0.11,026
sor,229,Cell Block Guard,,1,Unit,['Villainy'],"['IMPERIAL', 'TROOPER']",['Ground'],3,3,3,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/229.png,Common,0.09,229
sor,224,Change of Heart,,1,Event,['Cunning'],['GAMBIT'],,6,,,"Take control of a non-leader unit. At the start of the regroup phase, its owner takes control of it.",,,False,,https://cdn.swu-db.com/images/cards/SOR/224.png,Legendary,4.02,224
sor,003,Chewbacca,Walking Carpet,1,Leader,"['Vigilance', 'Heroism']","['UNDERWORLD', 'WOOKIEE']",['Ground'],7,2,9,Action [{Exhaust}]: Play a unit that costs 3 or less from your hand (paying its cost). It gains Sentinel for this phase.,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.)|GRIT (This unit gets +1/+0 for each damage on it.),"Epic Action: If you control 7 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/003-b.png,https://cdn.swu-db.com/images/cards/SOR/003.png,Common,0.09,003
sor,196,Chewbacca,Loyal Companion,1,Unit,"['Cunning', 'Heroism']","['UNDERWORLD', 'WOOKIEE']",['Ground'],5,3,6,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.)|When this unit is attacked: Ready him.,,,False,,https://cdn.swu-db.com/images/cards/SOR/196.png,Uncommon,0.16,196
sor,185,Chimaera,Flagship of the Seventh Fleet,1,Unit,"['Cunning', 'Villainy']","['IMPERIAL', 'VEHICLE', 'CAPITAL SHIP']",['Space'],8,8,7,"SHIELDED (When you play this unit, give a Shield token to it.) |On Attack: Name a card. An opponent reveals their hand and discards a card with that name from it.",,,False,,https://cdn.swu-db.com/images/cards/SOR/185.png,Rare,0.62,185
sor,004,Chirrut Îmwe,One With the Force,1,Leader,"['Vigilance', 'Heroism']","['FORCE', 'REBEL']",['Ground'],5,3,5,Action [{{Exhaust}}]: Give a unit +0/+2 for this phase.,"During the action phase, this unit isn't defeated by having no remaining HP. (During the regroup phase, if he has no remaining HP, defeat him.)","Epic Action: If you control 5 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/004-b.png,https://cdn.swu-db.com/images/cards/SOR/004.png,Rare,0.22,004
sor,188,Chopper,Metal Menace,1,Unit,"['Cunning', 'Heroism']","['REBEL', 'DROID', 'SPECTRE']",['Ground'],1,1,3,"While you control another SPECTRE unit, this unit gains RAID 1. |On Attack: Discard a card from the defending player's deck. If it's an event, exhaust a resource that player controls.",,,False,,https://cdn.swu-db.com/images/cards/SOR/188.png,Rare,0.77,188
sor,030,Chopper Base,Atollon,1,Base,['Cunning'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/030.png,Common,0.14,030
sor,063,Cloud City Wing Guard,,1,Unit,['Vigilance'],"['FRINGE', 'TROOPER']",['Ground'],3,2,4,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/063.png,Common,0.05,063
sor,109,Colonel Yularen,ISB Director,1,Unit,['Command'],"['IMPERIAL', 'OFFICIAL']",['Ground'],2,2,3,When you play a Command unit (including this one): Heal 1 damage from your base.,,,False,,https://cdn.swu-db.com/images/cards/SOR/109.png,Uncommon,0.24,109
sor,107,Command,,1,Event,"['Command', 'Command']",['INNATE'],,4,,,"Choose two, in any order:|Give 2 Experience tokens to a unit. |A friendly unit deals damage equal to its power to a non-unique enemy unit. |Put this event into play as a resource.|Return a unit from your discard pile to your hand.",,,False,,https://cdn.swu-db.com/images/cards/SOR/107.png,Legendary,15.90,107
sor,023,Command Center,Death Star,1,Base,['Command'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/023.png,Common,0.09,023
sor,251,Confiscate,,1,Event,,['LAW'],,1,,,Defeat an upgrade.,,,False,,https://cdn.swu-db.com/images/cards/SOR/251.png,Common,0.07,251
sor,112,Consortium StarViper,,1,Unit,['Command'],"['FRINGE', 'VEHICLE', 'FIGHTER']",['Space'],3,3,3,"While you have the initiative, this unit gains RESTORE 2. (When this unit attacks, heal 2 damage from your base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/112.png,Common,0.11,112
sor,046,Consular Security Force,,1,Unit,"['Vigilance', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],4,3,7,,,,False,,https://cdn.swu-db.com/images/cards/SOR/046.png,Common,0.05,046
sor,250,Corellian Freighter,,1,Unit,,"['VEHICLE', 'TRANSPORT']",['Space'],5,4,4,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/250.png,Common,0.06,250
sor,038,Count Dooku,Darth Tyrannus,1,Unit,"['Vigilance', 'Villainy']","['FORCE', 'SEPARATIST', 'SITH']",['Ground'],7,5,4,"SHIELDED (When you play this unit, give him a Shield token.) |When Played: You may defeat a unit with 4 or less remaining HP.",,,False,,https://cdn.swu-db.com/images/cards/SOR/038.png,Rare,1.50,038
sor,207,Crafty Smuggler,,1,Unit,['Cunning'],['UNDERWORLD'],['Ground'],2,2,2,"SHIELDED (When you play this unit, give a Shield token to it.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/207.png,Common,0.12,207
sor,203,Cunning,,1,Event,"['Cunning', 'Cunning']",['INNATE'],,4,,,"Choose two, in any order:|Return a non-leader unit with 4 or less power to its owner's hand.|Give a unit +4/+0 for this phase.|Exhaust up to 2 units.|An opponent discards a random card from their hand.",,,False,,https://cdn.swu-db.com/images/cards/SOR/203.png,Legendary,21.64,203
sor,021,Dagobah Swamp,Dagobah,1,Base,['Vigilance'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/021.png,Common,0.10,021
sor,087,Darth Vader,Commanding the First Legion,1,Unit,"['Command', 'Villainy']","['FORCE', 'IMPERIAL', 'SITH']",['Ground'],7,5,7,AMBUSH|When Played: Search the top 10 cards of your deck for any number of Villainy units with combined cost 3 or less and play each of them for free.,,,False,,https://cdn.swu-db.com/images/cards/SOR/087.png,Legendary,42.73,087
sor,128,Death Star Stormtrooper,,1,Unit,"['Aggression', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],1,3,1,,,,False,,https://cdn.swu-db.com/images/cards/SOR/128.png,Common,0.09,128
sor,033,Death Trooper,,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],3,3,3,When Played: Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/033.png,Common,0.11,033
sor,034,Del Meeko,Providing Overwatch,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],3,3,3,"Restore 1 (When this unit attacks, heal 1 damage from your base.) |Each event an opponent plays costs 1 more.",,,False,,https://cdn.swu-db.com/images/cards/SOR/034.png,Rare,0.64,034
sor,090,Devastator,Inescapable,1,Unit,"['Command', 'Villainy']","['IMPERIAL', 'VEHICLE', 'CAPITAL SHIP']",['Space'],10,10,10,SENTINEL|OVERWHELM|When Played: You may deal damage to a unit equal to the number of resources you control.,,,False,,https://cdn.swu-db.com/images/cards/SOR/090.png,Legendary,11.54,090
sor,070,Devotion,,1,Upgrade,['Vigilance'],['INNATE'],,2,1,1,"Attached unit gains RESTORE 2. (When this unit attacks, heal 2 damage from its controller's base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/070.png,Uncommon,0.22,070
sor,001,Director Krennic,Aspiring to Authority,1,Leader,"['Vigilance', 'Villainy']","['IMPERIAL', 'OFFICIAL']",['Ground'],5,2,7,Each friendly damaged unit gets +1/+0.,"Restore 2 (When this unit attacks, heal 2 damage from your base.) Each friendly damaged unit gets +1/+0.","Epic Action: If you control 5 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/001-b.png,https://cdn.swu-db.com/images/cards/SOR/001.png,Common,0.07,001
sor,162,Disabling Fang Fighter,,1,Unit,['Aggression'],"['MANDALORIAN', 'VEHICLE', 'FIGHTER']",['Space'],3,3,2,When Played: You may defeat an upgrade.,,,False,,https://cdn.swu-db.com/images/cards/SOR/162.png,Common,0.09,162
sor,216,Disarm,,1,Event,['Cunning'],['TACTIC'],,1,,,Give an enemy unit -4/-0 for this phase.,,,False,,https://cdn.swu-db.com/images/cards/SOR/216.png,Common,0.08,216
sor,060,Distant Patroller,,1,Unit,['Vigilance'],"['FRINGE', 'VEHICLE', 'FIGHTER']",['Space'],2,2,1,When Defeated: You may give a Shield token to a Vigilance unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/060.png,Uncommon,0.11,060
sor,223,Don't Get Cocky,,1,Event,['Cunning'],['GAMBIT'],,4,,,"Choose a unit. One at a time, reveal cards from your deck until you choose to stop or have revealed 7 cards. If the combined cost of the revealed cards is 7 or less, deal that much damage to the chosen unit. Put the revealed cards on the bottom of your deck in a random order.",,,False,,https://cdn.swu-db.com/images/cards/SOR/223.png,Rare,0.25,223
sor,024,Echo Base,Hoth,1,Base,['Command'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/024.png,Common,0.09,024
sor,098,Echo Base Defender,,1,Unit,"['Command', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],3,4,3,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/098.png,Common,0.14,098
sor,071,Electrostaff,,1,Upgrade,['Vigilance'],"['ITEM', 'WEAPON']",,2,2,2,"Attach to a non-VEHICLE unit.|While attached unit is defending, the attacker gets -1/-0.",,,False,,https://cdn.swu-db.com/images/cards/SOR/071.png,Rare,0.77,071
sor,006,Emperor Palpatine,Galactic Ruler,1,Leader,"['Command', 'Villainy']","['FORCE', 'IMPERIAL', 'SITH', 'OFFICIAL']",['Ground'],8,4,10,"Action [{C=1}, {Exhaust}, defeat a friendly unit]: Deal 1 damage to a unit and draw a card.","When Deployed: Take control of a damaged non-leader unit.|On Attack: You may defeat another friendly unit. If you do, deal 1 damage to a unit and draw a card.","Epic Action: If you control 8 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/006-b.png,https://cdn.swu-db.com/images/cards/SOR/006.png,Rare,0.20,006
sor,135,Emperor Palpatine,Master of the Dark Side,1,Unit,"['Aggression', 'Villainy']","['FORCE', 'IMPERIAL', 'SITH', 'OFFICIAL']",['Ground'],8,6,6,"Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.) |When Played: Deal 6 damage divided as you choose among enemy units.",,,False,,https://cdn.swu-db.com/images/cards/SOR/135.png,Rare,0.83,135
sor,082,Emperor's Royal Guard,,1,Unit,"['Command', 'Villainy']",['IMPERIAL'],['Ground'],3,3,4,"While you control an OFFICIAL unit, this unit gains Sentinel.|While you control Emperor Palpatine (as a leader or unit), this unit gets +0/+1.",,,False,,https://cdn.swu-db.com/images/cards/SOR/082.png,Rare,1.90,082
sor,022,Energy Conversion Lab,Eadu,1,Base,['Command'],,,,,25,Epic Action: Play a unit that costs 6 or less from your hand. Give it AMBUSH for this phase.,,,False,,https://cdn.swu-db.com/images/cards/SOR/022.png,Rare,1.74,022
sor,072,Entrenched,,1,Upgrade,['Vigilance'],['CONDITION'],,2,3,3,Attached unit can't attack bases.,,,False,,https://cdn.swu-db.com/images/cards/SOR/072.png,Uncommon,0.24,072
sor,114,Escort Skiff,,1,Unit,['Command'],"['UNDERWORLD', 'VEHICLE', 'SPEEDER']",['Ground'],4,4,4,"While you control another Command unit, this unit gains AMBUSH (After you play this unit, it may ready and attack an enemy unit.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/114.png,Common,0.05,114
sor,192,Ezra Bridger,Resourceful Troublemaker,1,Unit,"['Cunning', 'Heroism']","['FORCE', 'REBEL', 'SPECTRE']",['Ground'],3,3,4,"When this unit completes an attack: Look at the top card of your deck. You may play it, discard it, or leave it on top of your deck.",,,False,,https://cdn.swu-db.com/images/cards/SOR/192.png,Uncommon,0.36,192
sor,137,Fallen Lightsaber,,1,Upgrade,"['Aggression', 'Villainy']","['ITEM', 'WEAPON', 'LIGHTSABER']",,3,3,3,"Attach to a non-VEHICLE unit. |If attached unit is a FORCE unit, it gains: ""On Attack: Deal 1 damage to each ground unit the defending player controls.""",,,False,,https://cdn.swu-db.com/images/cards/SOR/137.png,Rare,5.66,137
sor,184,Fett's Firespray,Pursuing the Bounty,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'VEHICLE', 'TRANSPORT']",['Space'],6,5,6,"When Played: If you control Boba Fett or Jango Fett (as a leader or unit), ready this unit.|Action [{c=2}]: Exhaust a non-unique unit.",,,False,,https://cdn.swu-db.com/images/cards/SOR/184.png,Rare,3.80,184
sor,131,Fifth Brother,Fear Hunter,1,Unit,"['Aggression', 'Villainy']","['FORCE', 'IMPERIAL', 'INQUISITOR']",['Ground'],3,2,4,This unit gains RAID 1 for each damage on him. (He gets +1/+0 while attacking for each damage on him.)|On Attack: You may deal 1 damage to this unit and 1 damage to another ground unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/131.png,Uncommon,0.43,131
sor,143,Fighters For Freedom,,1,Unit,"['Aggression', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],3,3,4,"Saboteur (When this unit attacks, ignore Sentinel and defeat the defender's Shields.) |When you play another aggression card: You may deal 1 damage to a base.",,,False,,https://cdn.swu-db.com/images/cards/SOR/143.png,Uncommon,0.32,143
sor,130,First Legion Snowtrooper,,1,Unit,"['Aggression', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],2,2,3,"While attacking a damaged unit, this unit gets +2/+0 and gains Overwhelm. (Deal excess damage to the opponent's base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/130.png,Common,0.07,130
sor,240,Fleet Lieutenant,,1,Unit,['Heroism'],"['REBEL', 'TROOPER']",['Ground'],3,3,3,"When Played: You may attack with a unit. If it's a REBEL unit, it gets +2/+0 for this attack.",,,False,,https://cdn.swu-db.com/images/cards/SOR/240.png,Common,0.14,240
sor,152,For a Cause I Believe In,,1,Event,"['Aggression', 'Heroism']",['INNATE'],,3,,,"Reveal the top 4 cards of your deck. For each Heroism card revealed this way, deal 1 damage to an enemy base. You may discard any of the revealed cards and put the rest back on top of your deck in any order.",,,False,,https://cdn.swu-db.com/images/cards/SOR/152.png,Rare,2.72,152
sor,139,Force Choke,,1,Event,"['Aggression', 'Villainy']",['FORCE'],,2,,,"If you control a FORCE unit, this event costs {C=1} less to play.|Deal 5 damage to a non-VEHICLE unit. That unit's controller draws a card.",,,False,,https://cdn.swu-db.com/images/cards/SOR/139.png,Uncommon,0.30,139
sor,138,Force Lightning,,1,Event,"['Aggression', 'Villainy']",['FORCE'],,1,,,"Choose a unit. It loses all abilities for this phase. Then, if you control a FORCE unit, pay any number of resources and deal 2 damage to the chosen unit for each resource paid this way.",,,False,,https://cdn.swu-db.com/images/cards/SOR/138.png,Legendary,6.50,138
sor,167,Force Throw,,1,Event,['Aggression'],['FORCE'],,1,,,"Choose a player. That player discards a card from their hand. Then, if you control a FORCE unit, you may deal damage to a unit equal to the cost of the discarded card.",,,False,,https://cdn.swu-db.com/images/cards/SOR/167.png,Uncommon,0.71,167
